bedrijf,longitude,latitude
DSM NeoResins B.V.,5.05425,51.69667
Remia CV,5.23821,52.13998
AFP Holland BV,5.93977,52.19084
Brabant Alucast International,5.55095,51.78380
COATEX Netherlands BV,4.58416,51.68962
RWZI Holten,6.41213,52.24330
Noblesse Proteins BV,6.50580,52.78784
RWZI Drachten,6.05984,53.11268
Groen Gas Gelderland B.V.,5.91270,51.91809
Vrumona BV,5.20055,52.06245
Invista Polyester BV,3.55149,51.48436
Scheepswerf Kooiman BV,4.61232,51.81197
Scheepswerf en machinefabriek 't Ambacht,4.65313,51.85263
Hexion VAD B.V.,4.35388,51.88340
SPGPrints,5.94265,51.63928
RWZI Leiden Noord,4.49405,52.17439
RWZI Alkmaar,4.74111,52.64234
Hyproca Dairy BV,6.42194,52.50720
RWZI Velsen,4.65971,52.45946
GDF SUEZ Centrale Bergum,6.02977,53.20955
RWZI Veendam,6.90054,53.10406
RWZI Venray,5.98862,51.55103
Inter-Che-M BV,5.73082,51.85519
UZIMET BV,4.34758,52.03405
DCC Maastricht B.V.,5.68016,50.86545
Caldic Chemie BV,4.18000,51.92840
Huntsman Holland BV,4.24920,51.88901
RWZI Boxtel,5.32801,51.60867
FrieslandCampina Cheese Steenderen,6.19691,52.05909
RWZI Wijlre,5.89661,50.82687
RWZI Dronten,5.71735,52.53669
RWZI Heiloo,4.72161,52.59460
Technoplating Lelystad B.V.,5.44542,52.49762
Energiecoöperatie Greenhouse Energy,5.91757,51.91543
Meneba Meel BV,4.48065,51.89462
Kemira Rotterdam BV,4.26606,51.89474
Celanese Emulsions BV,5.79834,50.95276
Hilton Meats Zaandam B.V.,4.80108,52.42694
Heiploeg International BV,6.30161,53.34551
FrieslandCampina Maasdam,4.54725,51.79039
Dr. W. Kolb Nederland BV,4.55917,51.67302
Ten Cate Technical Fabrics BV (PC Stamstraat),6.47903,52.35595
Trobas Gelatine BV,4.92125,51.61791
Ondergrondse aardgasopslag Zuidwending,6.93305,53.08320
AMC Academisch Medisch Centrum,4.95790,52.29501
RWZI 's-Hertogenbosch,5.28345,51.72100
Nutricia Cuijk BV,5.88796,51.72357
De Gerlien van Tiem B.V.,5.60192,51.89607
Holland Malt (Bavaria),6.82125,53.45519
Veka Shipyard Lemmer B.V.,5.71669,52.84242
Steenbakkerij Randwijk BV,5.72988,51.96583
Eneco (Nieuwegein),5.08426,52.02579
RWZI Amsterdam-West,4.78716,52.39853
FrieslandCampina Butter (Noordwijk),6.25749,53.17090
Fokker Aerostructures BV,4.67991,51.82511
Euro Support Advanced Materials B.V.,5.64674,51.65208
RWZI Franeker,5.58027,53.17750
Lucite International Holland BV,4.25555,51.88598
Schiffers Food BV,5.93822,50.90378
Oxea Nederland BV,4.80409,52.40629
Gasunie (Zweekhorst),6.08337,51.96396
AWZI De Groote Lucht (Vlaardingen),4.30309,51.89999
Zeepfabriek De Klok BV,6.03217,52.39518
IJ-palen,4.58147,52.46948
Givaudan Nederland BV (Naarden),5.18242,52.29601
Koninklijke VIV Buisman B.V.,6.34979,52.00113
Remat Chemie B.V.,5.66912,51.46587
Avery Dennison Materials Nederland BV,4.63960,52.13006
CZL Tilburg BV,5.02934,51.58926
Rouveen Kaasspecialiteiten,6.18586,52.61971
RWZI Olburgen,6.14522,52.04667
Nedzink BV,5.59984,51.23753
Enrichment Technology Company Nederland,6.68683,52.33784
Scheepswerf De Schroef,3.82947,51.26716
UMC St Radboud & Radboud Universiteit Nijmegen,5.86548,51.81981
Riedel B.V.,5.64732,52.03220
Smit Draad,5.81017,51.84231
